web-scraper-order,web-scraper-start-url,playerpage,playerpage-href,name and birthday,batting,throwing,height,weight,affiliate,OFP p,realistic p,mlb eta p,Overall,mechanics,risk factor,mlb eta,OFP,realistic,primary position,secondary position,physical,Hit,Power,baserunning,glove,arm,hit score,power score,baserunning score,glove score,arm score
"1531174507-150","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Eric Skoglund","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=247","Eric Skoglund

			Born: 10/26/1992 (Age: 22)","Bats: Left","Throws: Left","Height: 6' 7""","Weight: 210","Wilmington Blue Rocks (High A, Royals)","30","30; Org Player","N/A","Skoglund is an organizational arm that will be able to consistently eat innings. He lacks an above-average offering and an out pitch, but shows average command for his three pitches. Skoglund lacks projection due his skinny frame.



Round Drafted: 3rd Round, 2014

Why: Average command of all pitches; potential for CB/CH to improve enough for a role as a backend SP or middle relief option.","Build: Tall; lanky frame with skinny hips/shoulders; lacks projection.



Mechanics: 3/4 arm slot; average arm speed; long extension; slight stab; average plane; stands tall on mound; lacks drive and does not use bottom half; doesn't use height to advantage; overall delivery is clean; delivery times 1.45 - 1.55.","50","FB","50","88-91","null","null","Build: Tall; lanky frame with skinny hips/shoulders; lacks projection.



Mechanics: 3/4 arm slot; average arm speed; long extension; slight stab; average plane; stands tall on mound; lacks drive and does not use bottom half; doesn't use height to advantage; overall delivery is clean; delivery times 1.45 - 1.55.","null","45","30","null","null","50","40","30","null","null"
"1531174322-64","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Jhoan Urena","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=222","Jhoan Urena
		Born: 09/01/1994 (Age: 20)","Bats: Switch","Throws: Right","Height: 6' 1""","Weight: 225","null","null","null","null","Urena is a difficult player to grade at present because he skipped a level to play against advanced competition. He's currently struggling badly against breaking balls, failing to identify them out of the hand. Despite this, however, he's still able to attack fastballs and has already made an in-seson adjustment, hitting better pitches than he was earlier in the season and putting together better at-bats. That quick adjustment provides optimism for his future. The plus bat speed gives him the tools to be an above-aveage hitter if he proves that his pitch recognition issues are more about lack of experience than they are neurological. The power is natural and doesn't require him to overswing. 



He'll never be an asset in the field, but he should be able to stay at third base through his prime, where his bat has the potential to be above-average. There is still a lot of development remaining in front of Urena, but the tools are evident for a potential impact bat. If the pitch recognition issues remain, he could still offer enough production to warrant playing time and find a regular role, but will need to bat down in the order.","Strong body, well-developed already, has gone from bad weight to good weight in the last six months;","High","2018","55","45, second-division regular","Primary Position: 3B","null","Strong body, well-developed already, has gone from bad weight to good weight in the last six months;","Plus bat speed from both sides of the plate; similar swings from both sides, uses leg kick to generate weight transfer and momentum; swing is longer from left side but also has more natural uppercut; good natural extension on swing; barrel control is good for such a powerful swing; currently struggling badly with breaking ball and off-speed pitch recognition in first look at advanced competition.","Raw power is a High 6 from both sides, approach will limit it's in-game utility; natural loft in swing; generates backspin on baseball getting good carry; will crush fastballs and hit enough mistakes out to have above-average game power; embraces a run-producer's mentality and attacks the baseball as such.","Already a below-average runner, athletic for his size, moves ok once under way.","Handles size well, average lateral range at present, though body could be an issue down the road; adequate hands, enough to make routine plays, though gets himself in trouble when he sits back on ball; can improve consistency on routine plays.","Plenty of arm for third base, good cary across diamond; release can get long at times.","50","55","35","45","55"
"1531175771-737","https://legacy.baseballprospectus.com/prospects/eyewitness.php","William Contreras","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=512","William Contreras
		Born: 12/24/1997 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 0""","Weight: 180","null","null","null","null","Carries himself with confidence; puts in work on the side; still developing staff-handling qualities; focuses pitch to pitch for most part.","Athletic for the position; quick actions; excellent range of motion; slightly undersized; will add some muscle but likely to maintain fringe-average size; athleticism should help durability.","High","2021","60","55; Everyday C","Primary Position: C","null","Athletic for the position; quick actions; excellent range of motion; slightly undersized; will add some muscle but likely to maintain fringe-average size; athleticism should help durability.","Above-average bat speed; hand load tends to get deep; swing can get lengthy; mostly makes up for length with quick hands, explosive lower half; utilizes lower half exceptionally well; notable lift in bat path and extension through contact; some swing and miss; still slightly raw approach but has idea/eye.","Power-based swing will tap into raw for above-average in-game power; loud contact to all fields; present pull-side home run power; consistent gap power to all fields; will grow into home run power to opposite field; impact pop for the position.","Athletic for catcher; quick feet; respectable home-to-first times; not a station-to-station runner; should remain serviceable on basepaths.","Athletic actions; quick behind plate; shifts side to side with ease; inconsistent glove; struggles squaring up body to block pitches at times; framing is in development; needs to soften glove some; framework for average defense based on athleticism.","1.95-2.05 pop times; quick release; smooth, quick catch-and-throw; inconsistent accuracy at times; plus arm strength.","50","55","30","50","55"
"1531175565-640","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Reed Garrett","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=317","Reed Garrett

			Born: 01/02/1993 (Age: 22)","Bats: Right","Throws: Right","Height: 6' 2""","Weight: 210","High Desert Mavericks (High A, Rangers)","40","30/org arm","2017","Garrett competes well and shows fire in his belly, but the stuff and command profile isn't quite enough to project a big-league career with confidence. His fastball is an average pitch with some inconsistency in execution, and while the change plays well off the fastball plane the breaking pitches lag and limit the ceiling.","Balanced takeaway with posture, moderate leg kick; glove hand flies out to full extension, some deception; shallow arm action to high-three-quarters slot, average arm speed; inconsistent drive, drifts from rubber, velocity fluctuates; 1:18-1.34 to the plate.","45","FB","50","87-91","null","null","Balanced takeaway with posture, moderate leg kick; glove hand flies out to full extension, some deception; shallow arm action to high-three-quarters slot, average arm speed; inconsistent drive, drifts from rubber, velocity fluctuates; 1:18-1.34 to the plate.","null","55","40","40","null","45","45","30","30","null"
"1531176019-855","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Christian Arroyo","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=301","Christian Arroyo
		Born: 05/30/1995 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 1""","Weight: 180","null","null","null","null","21 year-old, former 1st round infielder with plus future hit tool. Quick, quiet bat the generates loud contact. Line drive, up the middle approach. Doubles over home runs power. Glove is a tick below avg; combined with build, likely to move off SS before long. Has the arm to handle 3B; glove and range would play at 2B. Profiles better at 2B given compactness of body. Hit tool will carry and play.","sturdy, compact build; strong, filled out lower half; still maturing, but not much physical projection left","Medium","2016","50","Starting infielder carried by bat","Primary Position: SS","Secondary Position: 2B","sturdy, compact build; strong, filled out lower half; still maturing, but not much physical projection left","hard contact, line drive stroke; will use the whole field, but mostly up the middle approach; hands stay back with slight bat wrap, throws weight forward a hair early putting him out in front of pitches at times; strength in forearms/wrists generate plus batspeed","some pull power to the gap; swing doesn't sell out for power; line drives over fly balls approach; gap to gap focus will lead to lots of doubles","not quick; solid baserunner but not a burner","build and org depth make him not likely to last at SS; ranges better to his left than his right; glove is capable but avg","makes all the necessary throws with good carry; arm would play at 3rd","60","45","35","45","50"
"1531175599-656","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Michael Fulmer","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=314","Michael Fulmer

			Born: 03/15/1993 (Age: 22)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 246","Erie SeaWolves (AA, Tigers)","60","55, #3 Starter","2016","Strong, durable build; carries himself with confidence on the mound; aggressive with entire arsenal and showed willingness to challenge hitters; fastball and slider provide plus-plus duo that can torture hitters; changeup complements arsenal well and should provide average third pitch; must refine fastball command and improve consistent feel for secondaries throughout starts; potential workhorse starter that misses bats and contributes significantly to a championship caliber club.","Simple and repeatable movements from rocker step to balance point; gets through the first half of delivery with ease and in exactly the same way every time; moderate effort from balance to finish; strong legs create hard drive toward plate, working downhill with good momentum; short stride with consistent foot strike in line with plate; above-average to plus arm speed; high 3/4 slot; ball comes out of the hand with ease; will fall hard to first base at times, particularly when amped up and trying to execute a big pitch; maintains consistent delivery in stretch; mixes looks with slide step in 1.32-1.38 range and small leg lift in 1.37-1.47 range; finishes well in both windup and stretch; strong mechanical profile with athleticism and consistency.","65","Fastball","70","94-95","null","null","Simple and repeatable movements from rocker step to balance point; gets through the first half of delivery with ease and in exactly the same way every time; moderate effort from balance to finish; strong legs create hard drive toward plate, working downhill with good momentum; short stride with consistent foot strike in line with plate; above-average to plus arm speed; high 3/4 slot; ball comes out of the hand with ease; will fall hard to first base at times, particularly when amped up and trying to execute a big pitch; maintains consistent delivery in stretch; mixes looks with slide step in 1.32-1.38 range and small leg lift in 1.37-1.47 range; finishes well in both windup and stretch; strong mechanical profile with athleticism and consistency.","null","70","50","null","null","65","60","45","null","null"
"1531175443-585","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Josh Hader","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=157","Josh Hader

			Born: 04/07/1994 (Age: 20)","Bats: Left","Throws: Left","Height: 6' 3""","Weight: 185","Lancaster JetHawks (High A, Astros)","50","50; late innings reliever","2016","Hader is an intriguing prospect; he's young for the level and putting up very good numbers in an offensive environment. Hitters are only batting .188 off of him to date, which is tied for 1st in the Cal League among pitchers with more than 70 IP. There's no doubting the stuff; all three pitches flash plus and can work plus for innings at a time. The part where he can trip up is his ability to repeat his difficult delivery. There is a lot of moving parts, and he does a good job keeping it together and producing momentum towards the plate. Adding strength will definitely be a necessity if he's going to last as a starter, as his velocity dipped a little as the games progressed. Perfect world scenario, he's an innings-eating #3/4 starter. Realistically, I can see his velocity and secondary offerings play up in a relief role, coming in vs. tough lefties and also being able to handle righties. If Hader is a reliever, he can make a contribution by late 2015 with 2016 as the most likely time frame.","6-3/160 is accurate; skinny, lanky frame; lots of room for added strength; long levers; low 3/4 slot; still gets some plane;  loose arm; plus arm strength; lands closed; rocks back, pauses, then fires; good momentum to the plate; has trouble repeating; close to max effort; command profile is fringy; slow to the plate; 1.45-1.52 range.","50","FB","60","88-93","null","null","6-3/160 is accurate; skinny, lanky frame; lots of room for added strength; long levers; low 3/4 slot; still gets some plane;  loose arm; plus arm strength; lands closed; rocks back, pauses, then fires; good momentum to the plate; has trouble repeating; close to max effort; command profile is fringy; slow to the plate; 1.45-1.52 range.","null","60","55","null","null","50","45","50","null","null"
"1531174585-182","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Luis Sardinas","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=26","Luis Sardinas
		Born: 05/16/1993 (Age: 20)","Bats: Switch","Throws: Right","Height: 6' 1""","Weight: 180","null","null","null","null","Not a max-effort player; can give away at-bats; frustrating; makes it all look very easy, both with the glove and when it comes to contact; when he wants to shine, he can.



Impact shortstop at highest level; easy plus glove; easy plus run; plus arm; plus potential hit tool; natural player; questionable work ethic/effort; limited power; leadoff potential if bat develops; has idea/approach at the plate; down-the-lineup glove-first type as a floor.","Injury history to both shoulders; very slender; skinny legs; not much to physically project; thin wrists; narrow waist; lacks much upper body strength.","High","2015","60","50; major league regular","Primary Position: SS","Secondary Position: 2B","Injury history to both shoulders; very slender; skinny legs; not much to physically project; thin wrists; narrow waist; lacks much upper body strength.","Excellent bat-to-ball skills from both sides of the plate; fluid swing; clean; gets into zone quickly; controls the bat very well; uses the entire field; contact/line-drive swing; good bat speed; the kid is a hitter; can square velocity; tracks the ball well; natural.","Limited strength; swing not geared for over-the-fence power; can generate slugging through doubles/triples; has extra-base hit potential; not a power threat.","Inconsistent run; can show 7 times to first; more than enough speed to impact game; can get too causal on base; drifts aggressively off first; has 30-plus stolen base potential; needs baserunning refinement.","Silky smooth leather; well above average actions; soft hands; absorbs the ball; natural fielder when focused; good backhand pickup; good on balls directly at him; very good range/lateral quickness; it’s all very easy; true Venezuelan shortstop; projects to stay at position.","Strong arm; easy plus; throwing mechanics can get sloppy; can whip it from lower slot and lose accuracy; when he needs to gear up, he has plenty of arm strength; can make every throw; weapon.","65","20","65","70","60"
"1531174526-157","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Magneuris Sierra","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=410","Magneuris Sierra
		Born: 04/07/1996 (Age: 21)","Bats: Left","Throws: Left","Height: 5' 11""","Weight: 160","null","null","null","null","Average, non-issue, competes.","Lean, v-shaped frame. Athletic. Limited projection.","Moderate","2018","60","55; Above-Average Center Fielder","Primary Position: CF","Secondary Position: RF","Lean, v-shaped frame. Athletic. Limited projection.","An aggressive swinger with good lift to his game; lines the ball all over the field; average bat speed; needs to improve pitch recognition, can get too swing-happy; decent bunt game.","Good extension, lacks the frame and raw power to hit the ball over the fence, will hit for doubles and triples, HRs will come sparingly, <10 HR/season tops.","The kind of speed that forces infielders to rush; will steal many, many bags but currently not optimally used; needs to learn to control it for base-stealing. DIG 3.93.","Athletic, instinctive center fielder who tracks the ball well; good jumps and routes; speed allows him to cover ground, will stay in CF long term.","Strong arm; carry on a low line with accuracy; short, quick arm.","55","35","70","65","60"
"1531175478-601","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Trent Grisham","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=471","Trent Grisham
		Born: 11/01/1996 (Age: 20)","Bats: Left","Throws: Left","Height: 6' 0""","Weight: 205","null","null","null","null","Immature, doesn't keep focus all the time, will hustle in spurts.","Big arms; athletic, projectability remaining.","Moderate","2019","50","45; Second-Division Starter","Primary Position: RF","null","Big arms; athletic, projectability remaining.","Short stride, off balance, max effort; above-average bat speed, lots of noise, leans on back foot often, throws hands at ball, loud contact potential, ball jumps off bat when he connects, wild mechanics make him late on plus velo, questionable bat-to-ball ability, pulls head too easily, lacked an approach, athletic stroke leaves potential to improve tool; physical tools allow for a fringe average utility projection.","Strength in frame creates plus raw power, flashes ability to improve mild leverage, game power lags due to contact issues, power comes with decent loft; projects potential mid-teens power.","Clocked at 4.14, maintains speed from station to station; shows burst out of the box.","Choppy mover, above-average range for right field, athletic for a corner spot, covers ground quickly, careless on routine plays, profiles better in right than in center field.","Fringe-average arm strength; short arms a bit, throws with enough velo to efficiently hit cut off men.","45","50","55","50","45"
"1531175718-712","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Esmerling De La Rosa","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=411","Esmerling De La Rosa

			Born: 05/15/1991 (Age: 25)","Bats: Right","Throws: Right","Height: 6' 2""","Weight: 199","Jupiter Hammerheads (High A, Marlins)","30","Organizational Reliever","2018","De La Rosa is old for the level and repeating despite success in the league last year. He projects as an upper-level relief arm.



Command- 40/40

Control- 40/40","Large body and frame, lacks remaining projection. Half-wind, above-average arm speed, three-quarter slot; some effort at finish.","55","Fastball","55","93-95","null","null","Large body and frame, lacks remaining projection. Half-wind, above-average arm speed, three-quarter slot; some effort at finish.","null","40","30","null","null","55","40","30","null","null"
"1531175861-780","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Lewis Brinson","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=42","Lewis Brinson
		Born: 05/08/1994 (Age: 19)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 195","null","null","null","null","Brinson is hard to miss on the field as his premium athleticism, tools, and highly projectable body jump out. This is the type of talent who can develop into an impact player and stick around the league for a while at a premium position. The present flaws are highly noticeable, however, and there is a big gap for him to cover to reach his ceiling. Brinson’s approach is extremely unrefined, leading to a lot of wild swings and a lack of coverage on the outer third of the plate. The 19-year-old’s body language and early weight transfer also indicate a big need for improvement with picking up the spin of breaking balls. While I see his strike zone judgment and pitch recognition as areas that have room for growth with experience, Brinson presently consistently repeats his mistakes and is often up at the plate looking to hit it as far as he can. Early clues that there are some engrained habits to break.

The outfielder’s batspeed and ability to barrel up the ball with authority are good signs that with growth in his secondary skills the bat can end up highly productive. With development, Brinson’s peak offensive output can approach .270s batting averages and 25 home runs annually. The power may crest even further as this is a hitter that can put a charge into a baseball at an early age and understands how to produce backspin, and lift. There is a lot of risk that the hit tool ends up falling short due to his propensity to swing-and-miss and averages are more in the .240s range, leading to him hitting in the bottom third of a first division lineup. The hole down and away, especially with breaking balls, and pull nature to his swing lead me to believe he’ll likely always be able be pitched to. The upside is that Brinson will make pitchers pay for poorly located fastballs or inconsistent execution. The key is how much he can improve with keeping his hands back over the next season or two.

I don’t see Brinson’s talent as a question and a future situation developing where it levels out against the competition or is exposed. It is going to come down to his ability to recognize the need to adjust and apply it into game action, while sustaining the repetition. As presently constructed, there’s considerable flameout potential and volatility, but the ceiling where if it clicks the final product can be huge.","Lean, athletic build; wiry, explosive muscle; fluid with actions and movements; plenty of room on both upper and lower body to fill out; potential for huge physical gains; gifted athlete; physically reminiscent to B.J Upton.","Extreme","2017","70","","Primary Position: CF","Secondary Position: RF","Lean, athletic build; wiry, explosive muscle; fluid with actions and movements; plenty of room on both upper and lower body to fill out; potential for huge physical gains; gifted athlete; physically reminiscent to B.J Upton.","Plenty of life in the hands; quick wrists; generates plus bat speed; can barrel up velocity with ease; ball explodes off bat; capable of keeping hands inside of the baseball; swing is on the long side, with too much pre-contact extension at times; drops back shoulder to cause loop in swing; a lot of leverage through hitting zone; high swing-and-miss; needs improvement keeping swing in strike zone longer to make consistent contact; does not presently adjust well to path of ball.","Surprising raw power for current size and strength level; knows how to lift the ball; ability to grow into power to all fields; present game power is pull-side; drives ball with authority and back spin; power will play in any ballpark.","4.19-4.25 down the line; steals bases via speed, but needs work with reads; ability to steal 20-30 bases; accelerates on the turn at first; kicks it into another gear on the bases.","Instinctive with reads off the bat; sees ball at point of contact; can be indecisive with reads and routes; needs to learn to trust judgment and slow the game down defensively; displays closing speed into both gaps; can struggle going back on the ball, often drifting rather than tracking to a spot; shows flashes of what he can become defensively; skills to stick in center; can develop into a player who impacts the game in the field.","Fluid release; sets feet when throwing to get momentum behind the ball; throws on a line; right fielder’s arm.","50","60","60","65","60"
"1531174244-27","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Devin Williams","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=305","Devin Williams

			Born: 09/21/1994 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 165","Wisconsin Timber Rattlers (Low A, Brewers)","60","50 - 4 starter, set up reliever fallback.","Late 2017","Drafted by the Milwaukee Brewers in the 2nd round of the 2013 MLB June Amateur Draft from Hazelwood West HS (Hazelwood, MO).



Williams is a projectable pitcher who has made advancements from last year. At present Williams flashes plus stuff and a tenuous grasp on command but his repeatable mechanics and athletic delivery allow for projecting solid average command. Williams projects to add good weight as well and he will have a sturdy, starter's frame when he fills out. With a command jump Williams can become a 3 starter.","High waist; projectable frame; athletic three quarters delivery; repeatable mechanics; plus arm speed; short arm circle; slight head whack; clean foot strike; some effort in the delivery.","50","Fastball","60","89-92","null","null","High waist; projectable frame; athletic three quarters delivery; repeatable mechanics; plus arm speed; short arm circle; slight head whack; clean foot strike; some effort in the delivery.","null","55","60","null","null","50","40","50","null","null"
"1531175509-616","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Nick Gordon","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=194","Nick Gordon
		Born: 10/24/1995 (Age: 19)","Bats: Left","Throws: Right","Height: 6' 0""","Weight: 160","null","null","null","null","Gordon is still early in the development curve but the tools are there for a special player. He teases an advanced feel for the barrel and an ability to use the whole field. Gordon has a high baseball IQ, more power than you’d think by looking at him and the glove will stick at shortstop.","Skinny frame with room for a little projection but not much. Can add some good weight (~10 lbs). High-waisted player. Sets up at the plate with high hands and a slightly open stance.","High","2018","70","60 - First Division Starter","Primary Position: SS","null","Skinny frame with room for a little projection but not much. Can add some good weight (~10 lbs). High-waisted player. Sets up at the plate with high hands and a slightly open stance.","Short and compact swing; direct to the ball. Can get aggressive in approach; possesses plus plate coverage; plus feel for the barrel; gets the barrel to the ball in all quadrants of the zone and shows an ability to turn around on velocity in. Goes with the pitch and stings the ball.","Linear swing but has more power than expected given frame and swing. Compact swing, can muscle up on the ball. Power will be gap oriented but has strong wrists. Won’t get bat knocked out of hands.","11.81 home to third on a triple, has natural quickness, is a good athlete. Speed will be a factor on the base paths, will take the extra base.","Glove is still raw as he can speed the game up sometimes but shows plus potential. Fluid actions, fields the ball out front, good glove to hand transfer. Has first step quickness and instincts to play the position. Nose for the ball.","Strong arm, easy throwing motion. Can rush throws at times but shows plus accuracy potential.","60","40","55","60","60"
"1531175401-565","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Courtney Hawkins","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=79","Courtney Hawkins
		Born: 11/12/1993 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 245","null","null","null","null","50; winning spirit and is involved with helping teammates; often argues with umpires","shorter than listed height; wide hips with extremely thick lower half; broad shoulders with big muscular chest; short arms; body is maxed out and no more room for growth; high maintenance body going forward and has potential to add bad weight as he matures.","high","2016","50","35; Quad A player/org guy","Primary Position: CF","Secondary Position: LF","shorter than listed height; wide hips with extremely thick lower half; broad shoulders with big muscular chest; short arms; body is maxed out and no more room for growth; high maintenance body going forward and has potential to add bad weight as he matures.","excellent bat speed and leverage; bat comes through hitting zone at upward angle; much calmer hands and load; small toe tap timing; hands much lower than last year; swing itself is long; can get great extension post contact on mistakes; also can extend early; has habit of shifting weight from anchored back leg to front side early; mistake hitter only; have serious questions about natural bat-to-ball skills; needs refinement in approach and plate discipline; will still expand the zone at any count and anywhere; has little idea of the strike zone; at times, front side flies way open early and barrel drags through the zone; does not recognize secondary offerings; does not recognize breaking ball spin at all; gets off balance often and has ugly swings against off speed; does not stand a chance against quality breaking stuff; will not hit enough to get to the highest level.","plus-plus raw power; great strength in wrists and hands; has bat speed and leverage; will crush mistakes; backside collapses often trying to maximize power; quality of hit tool will limit power.","clocked in the 4.3 range; athletic for size; had trouble getting out of the box clean; bad weight could slow him more.","questionable reads/routes to the ball; does not react well off the bat; had trouble back pedaling and getting to ball in the gap; limited range due to lack of reaction and limited speed.","plus arm strength; made throws on a line; used correct footwork and whole body to get behind ball when throwing.","30","50","40","45","60"
"1531174658-217","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Josh Rogers","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=465","Josh Rogers

			Born: 07/10/1994 (Age: 22)","Bats: Left","Throws: Left","Height: 6' 3""","Weight: 220","Tampa Yankees (High A, Yankees)","40","30: Upper-Level Starting Depth","2019","Rogers is a good competitor who throws strikes, but he can get predictable with his sequencing, often leaning on a formulaic fastball-early, changeup, curveball progression. He lacks a big-league out pitch, though there is some mild organizational interest on account of solid-average control and left-handedness. He profiles as an upper-level arm who offers emergency utility as an up-and-down starter. 



Command- 40/45

Control- 55/55","Projectable frame, particularly in lower half; full-wind, some stiffness, front shoulder stays closed, hides the ball well, deceptive motion; arm stab, mild wrist wrap, average arm speed, three-quarter slot; repeats well","45","FB","50","88-90","null","null","Projectable frame, particularly in lower half; full-wind, some stiffness, front shoulder stays closed, hides the ball well, deceptive motion; arm stab, mild wrist wrap, average arm speed, three-quarter slot; repeats well","null","40","45","null","null","45","30","40","null","null"
"1531174297-52","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Vincent Velasquez","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=177","Vincent Velasquez

			Born: 06/07/1992 (Age: 22)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 205","Lancaster JetHawks (High A, Astros)","55","50; No. 4 starter","2016","Velazquez has been sidelined for a while now, but the pitcher I saw in this game had some promise. The fastball-changeup combination is major league quality and has the chance to become plus-plus with more reps and command. The curve needs to take a step forward, which is why the injury comes at a bad time in this part of his development. If it does step up to major league average, then I believe he has the chance to become a work-horse, #3 starter. Realistically, he may fall just below that, but still becoming a nice back-end starter that has value.","Big broad shoulders; very good size and strength; prototype; body could get a little thick going forward but he looks like a good athlete; heavier than listed weight; 3/4 slot; clean arm action; looks easy coming out of his hand; gets downhill well; uses length; quick from the stretch; showed a slide-step; frustrated on the mound at times; sidelined since May 9th with a groin injury.","60","FB","65","93-96","null","null","Big broad shoulders; very good size and strength; prototype; body could get a little thick going forward but he looks like a good athlete; heavier than listed weight; 3/4 slot; clean arm action; looks easy coming out of his hand; gets downhill well; uses length; quick from the stretch; showed a slide-step; frustrated on the mound at times; sidelined since May 9th with a groin injury.","null","50","65","null","null","60","40","65","null","null"
"1531174367-85","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Gleyber Torres","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=420","Gleyber Torres
		Born: 12/13/1996 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 1""","Weight: 200","null","null","null","null","Potential star with already advanced skills that grant him a higher realistic floor than most in the minors. One of the five or ten best prospects in the minors, no matter where he ends up on the dirt.","Might be shorter and heavier than listed. Athletic and powerfully built with a little projectability left to the body.","Low","2017","70","60, first-division infielder","Primary Position: SS","Secondary Position: 3B","Might be shorter and heavier than listed. Athletic and powerfully built with a little projectability left to the body.","Some of the quickest hands and wrists I've ever seen, which easily overcomes a moderate bat wrap. Advanced and disciplined plate approach combines with the quick trigger to give him that extra fraction of a tick to make a decision. You would never teach a guy to hit like this intentionally, but it really works.","Hits the ball very hard and sometimes hits it very far. Game power has been limited thus far in career, with a high of 11 homers in 2016, but it seems to be coming fast.","Average or a tick below down the line. Plays up in game scenarios; put up 20-steal seasons in 2015 and 2016, albeit at a terrible clip for the minors.","Actions, range, and reliability are all just good enough to give him a shot to stay at short with continued improvement. Ideal projection for me would be at second, where it would all look well above-average. Organizational needs may kick him over to third; did not get a look at him there, but given that he's a reactive player with great hand-eye coordination in other areas, that should also be a reasonable landing spot for him.","He's got a shortstop's arm strength. Accuracy can be a bit scattershot, and his release can get a little elongated. Overall, arm plays more than enough for second and should be fine at third.","60","60","50","55","55"
"1531175726-716","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Johnny Davis","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=305","Johnny Davis
		Born: 04/26/1990 (Age: 26)","Bats: Switch","Throws: Right","Height: 5' 10""","Weight: 180","null","null","null","null","Davis is a pure 80 runner, a hitter who makes fielders uncomfortable at the plate as he is looking to bunt and get on base. He lacks the hitting skills to be a bigger threat overall. Being a below-average OF defensively doesn't help matters as poor routes/jumps will hurt him down the road. Every organization has a Terrance Gore type floating around, the Brewers one is named Johnny Davis.","Medium frame with an even body, good athletic body that lacks projection overall.","High","None","30","Role 1,Organizational Outfielder","Primary Position: CF","Secondary Position: LF","Medium frame with an even body, good athletic body that lacks projection overall.","LHH- Really chokes up on the bat, line-drive stroke, lacks bat speed, more of a slapper.

RHH- A more open crouched stance, choked up on barrel, lacks separation with hands, flat LD stroke, looks to be throwing hands at balls, lacks bat speed.



Overall- Chases at a lot of pitches as he tries to put the ball in play.","Zero power, doesn't square up a lot, uses speed to get XBH, power isn't part of game","80 runner, 4.02 (RH), 3.90 (LH), makes fielders uncomfortable, puts balls in play, looking to bunt, 3.47 (LH-JB). Needs to improve jumps off pitchers to be a basestealing threat.","Below-average fielder, takes bad routes to the baseball, speed makes up for mistakes with reads and routes. Plus range given 80 run.","Average arm strength, good carry and accuracy.","30","20","80","40","50"
